Designator,Footprint,Quantity,Value,LCSC Part #
C1,cap0603,1,0.1u,C5463924
"D1, D10, D11, D12, D13, D14, D15, D2, D3, D4, D5, D6, D7, D8, D9",led2835,15,LED,C7423442
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J2,JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,1,Conn_01x03,C144394
J4,PinSocket_1x02_P2.54mm_Vertical,1,LED,
J5,PinSocket_1x02_P2.54mm_Vertical,1,LDR,
"MTH1, MTH10, MTH11, MTH12, MTH13, MTH14, MTH2, MTH3, MTH4, MTH5, MTH6, MTH7, MTH8, MTH9",MountingHole_3.2mm_M3_Pad_Via,14,MountingHole_Pad,
"R1, R10, R11, R12, R13, R14, R15, R2, R3, R4, R5, R6, R7, R8, R9",ALS-PT19 (Top Side),15,C146233,C146233
R16,res0603,1,3K24,C22994
R17,res0603,1,10K,C25804
TP1,14 AWG,1,GND,
TP3,14 AWG,1,3v3,
U1,CD74HC4067M,1,CD74HC4067SM,C1545936
U2,Seeeduino XIAO SAMD 21 TFT,1,Seeed Studio XIAO SAMD21,
