Designator,Mid X,Mid Y,Rotation,Layer
C1,-10.0,2.8,180.0,top
D1,0.0,61.0,90.0,bottom
D10,35.8549,-49.350037,234.0,bottom
D11,52.82755,-30.5,210.0,bottom
D12,60.665836,-6.376236,186.0,bottom
D13,58.014447,18.850037,162.0,bottom
D14,45.331834,40.816967,138.0,bottom
D15,24.810935,55.726273,114.0,bottom
D2,-24.810935,55.726273,66.0,bottom
D3,-45.331834,40.816967,42.0,bottom
D4,-58.014447,18.850037,18.0,bottom
D5,-60.665836,-6.376236,354.0,bottom
D6,-52.82755,-30.5,330.0,bottom
D7,-35.8549,-49.350037,306.0,bottom
D8,-12.682613,-59.667004,282.0,bottom
D9,12.682613,-59.667004,258.0,bottom
J1,-55.6,0.996,270.0,top
J2,54.2,-2.5,90.0,top
J4,-36.9,-73.4,0.0,top
J5,36.9,-73.4,0.0,top
R1,58.585081,-19.035447,18.0,bottom
R10,-36.207572,49.835447,234.0,bottom
R11,-12.80736,60.253892,258.0,bottom
R12,12.80736,60.253892,282.0,bottom
R13,36.207572,49.835447,306.0,bottom
R14,53.347165,30.8,330.0,bottom
R15,61.262549,6.438953,354.0,bottom
R16,-10.0,-2.8,0.0,top
R17,-10.0,0.0,0.0,top
R2,45.777721,-41.218445,42.0,bottom
R3,25.054977,-56.2744,66.0,bottom
R4,0.0,-61.6,90.0,bottom
R5,-25.054977,-56.2744,114.0,bottom
R6,-45.777721,-41.218445,138.0,bottom
R7,-58.585081,-19.035447,162.0,bottom
R8,-61.262549,6.438953,186.0,bottom
R9,-53.347165,30.8,210.0,bottom
TP1,-12.0,71.8,90.0,top
TP3,12.0,72.0,90.0,top
U1,0.0,0.0,90.0,top
U2,73.0,0.0,270.0,top
