Designator,Footprint,Quantity,Value,LCSC Part #
C1,cap0603,1,10n,
"C2, C5",EIA-7343-D,2,220u,
"C3, C6",cap0603,2,C,
C4,cap0603,1,10u,
"D1, D2",0603,2,B340,
"H1, H10, H11, H12, H13, H14, H15, H16, H2, H3, H4, H5, H6, H7, H8, H9",MountingHole_3.2mm_M3_Pad_Via,16,MountingHole_Pad,
"J1, J2",L298N,2,Conn_01x13,
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
J5,PinSocket_1x08_P2.54mm_Vertical,1,Conn_01x08,
"L1, L2",0630 One Piece Inductor,2,15uH,
"R1, R101, R3",res0603,3,10K,
R102,res0603,1,1K,
R2,res0603,1,5K9,
R4,res0603,1,3K24,
SW101,SW_PUSH_SPST,1,SW_Push,
"U1, U3",TI_SO-PowerPAD-8,2,TPS5430DDA,
U2,MODULE_DEV-15583,1,DEV-15583,
"batawg1, batawg2",14 AWG,2,+12V,
